NAME,B01003_001E,state,county,tract,GEOID,population
Census Tract 227.01; King County; Washington,3020,53,033,022701,53033022701,3020
Census Tract 227.02; King County; Washington,4035,53,033,022702,53033022702,4035
Census Tract 227.03; King County; Washington,3040,53,033,022703,53033022703,3040
Census Tract 228.02; King County; Washington,6234,53,033,022802,53033022802,6234
Census Tract 228.03; King County; Washington,7442,53,033,022803,53033022803,7442
Census Tract 228.04; King County; Washington,5039,53,033,022804,53033022804,5039
Census Tract 228.05; King County; Washington,3409,53,033,022805,53033022805,3409
Census Tract 229.01; King County; Washington,3176,53,033,022901,53033022901,3176
Census Tract 229.02; King County; Washington,6721,53,033,022902,53033022902,6721
Census Tract 230; King County; Washington,7249,53,033,023000,53033023000,7249
Census Tract 231; King County; Washington,4436,53,033,023100,53033023100,4436
Census Tract 232.01; King County; Washington,6046,53,033,023201,53033023201,6046
Census Tract 232.02; King County; Washington,5122,53,033,023202,53033023202,5122
Census Tract 233; King County; Washington,7759,53,033,023300,53033023300,7759
Census Tract 234.01; King County; Washington,4320,53,033,023401,53033023401,4320
Census Tract 234.03; King County; Washington,4122,53,033,023403,53033023403,4122
Census Tract 234.04; King County; Washington,3667,53,033,023404,53033023404,3667
Census Tract 235; King County; Washington,4045,53,033,023500,53033023500,4045
Census Tract 236.01; King County; Washington,4604,53,033,023601,53033023601,4604
Census Tract 236.03; King County; Washington,6564,53,033,023603,53033023603,6564
Census Tract 236.04; King County; Washington,6238,53,033,023604,53033023604,6238
Census Tract 237.01; King County; Washington,4476,53,033,023701,53033023701,4476
Census Tract 237.02; King County; Washington,1022,53,033,023702,53033023702,1022
Census Tract 238.01; King County; Washington,3293,53,033,023801,53033023801,3293
Census Tract 238.05; King County; Washington,3425,53,033,023805,53033023805,3425
Census Tract 238.06; King County; Washington,3634,53,033,023806,53033023806,3634
Census Tract 238.07; King County; Washington,6027,53,033,023807,53033023807,6027
Census Tract 238.08; King County; Washington,2652,53,033,023808,53033023808,2652
Census Tract 239.01; King County; Washington,4554,53,033,023901,53033023901,4554
Census Tract 239.02; King County; Washington,2764,53,033,023902,53033023902,2764
Census Tract 240.01; King County; Washington,4365,53,033,024001,53033024001,4365
Census Tract 240.02; King County; Washington,4054,53,033,024002,53033024002,4054
Census Tract 241; King County; Washington,4711,53,033,024100,53033024100,4711
Census Tract 242; King County; Washington,2923,53,033,024200,53033024200,2923
Census Tract 243.01; King County; Washington,4706,53,033,024301,53033024301,4706
Census Tract 243.02; King County; Washington,4231,53,033,024302,53033024302,4231
Census Tract 244; King County; Washington,3171,53,033,024400,53033024400,3171
Census Tract 245; King County; Washington,5057,53,033,024500,53033024500,5057
Census Tract 246.01; King County; Washington,4750,53,033,024601,53033024601,4750
Census Tract 246.02; King County; Washington,3549,53,033,024602,53033024602,3549
Census Tract 247.01; King County; Washington,3541,53,033,024701,53033024701,3541
Census Tract 247.03; King County; Washington,3917,53,033,024703,53033024703,3917
Census Tract 247.04; King County; Washington,4379,53,033,024704,53033024704,4379
Census Tract 248; King County; Washington,6113,53,033,024800,53033024800,6113
Census Tract 249.01; King County; Washington,4584,53,033,024901,53033024901,4584
Census Tract 249.02; King County; Washington,4297,53,033,024902,53033024902,4297
Census Tract 249.04; King County; Washington,2999,53,033,024904,53033024904,2999
Census Tract 249.05; King County; Washington,3372,53,033,024905,53033024905,3372
Census Tract 250.01; King County; Washington,5856,53,033,025001,53033025001,5856
Census Tract 250.05; King County; Washington,6330,53,033,025005,53033025005,6330
Census Tract 250.06; King County; Washington,6741,53,033,025006,53033025006,6741
Census Tract 250.07; King County; Washington,4663,53,033,025007,53033025007,4663
Census Tract 250.08; King County; Washington,2450,53,033,025008,53033025008,2450
Census Tract 251.01; King County; Washington,6193,53,033,025101,53033025101,6193
Census Tract 251.03; King County; Washington,4355,53,033,025103,53033025103,4355
Census Tract 251.04; King County; Washington,4386,53,033,025104,53033025104,4386
Census Tract 252.01; King County; Washington,4090,53,033,025201,53033025201,4090
Census Tract 252.02; King County; Washington,5083,53,033,025202,53033025202,5083
Census Tract 253.02; King County; Washington,5252,53,033,025302,53033025302,5252
Census Tract 253.03; King County; Washington,2543,53,033,025303,53033025303,2543
Census Tract 253.04; King County; Washington,4132,53,033,025304,53033025304,4132
Census Tract 254.01; King County; Washington,3498,53,033,025401,53033025401,3498
Census Tract 254.02; King County; Washington,3701,53,033,025402,53033025402,3701
Census Tract 255; King County; Washington,5213,53,033,025500,53033025500,5213
Census Tract 256.01; King County; Washington,5265,53,033,025601,53033025601,5265
Census Tract 256.02; King County; Washington,6937,53,033,025602,53033025602,6937
Census Tract 257.02; King County; Washington,3551,53,033,025702,53033025702,3551
Census Tract 257.03; King County; Washington,3332,53,033,025703,53033025703,3332
Census Tract 257.04; King County; Washington,3856,53,033,025704,53033025704,3856
Census Tract 258.03; King County; Washington,4639,53,033,025803,53033025803,4639
Census Tract 258.04; King County; Washington,3685,53,033,025804,53033025804,3685
Census Tract 258.05; King County; Washington,5321,53,033,025805,53033025805,5321
Census Tract 258.06; King County; Washington,4958,53,033,025806,53033025806,4958
Census Tract 260.01; King County; Washington,5527,53,033,026001,53033026001,5527
Census Tract 260.03; King County; Washington,4273,53,033,026003,53033026003,4273
Census Tract 260.04; King County; Washington,4376,53,033,026004,53033026004,4376
Census Tract 261.01; King County; Washington,3747,53,033,026101,53033026101,3747
Census Tract 261.02; King County; Washington,4407,53,033,026102,53033026102,4407
Census Tract 262; King County; Washington,6140,53,033,026200,53033026200,6140
Census Tract 263; King County; Washington,1781,53,033,026300,53033026300,1781
Census Tract 264; King County; Washington,5827,53,033,026400,53033026400,5827
Census Tract 265; King County; Washington,4474,53,033,026500,53033026500,4474
Census Tract 266; King County; Washington,2275,53,033,026600,53033026600,2275
Census Tract 267; King County; Washington,5681,53,033,026700,53033026700,5681
Census Tract 268.01; King County; Washington,6080,53,033,026801,53033026801,6080
Census Tract 268.02; King County; Washington,6320,53,033,026802,53033026802,6320
Census Tract 270; King County; Washington,3071,53,033,027000,53033027000,3071
Census Tract 271; King County; Washington,4128,53,033,027100,53033027100,4128
Census Tract 272; King County; Washington,2986,53,033,027200,53033027200,2986
Census Tract 273; King County; Washington,6542,53,033,027300,53033027300,6542
Census Tract 274; King County; Washington,5193,53,033,027400,53033027400,5193
Census Tract 275; King County; Washington,4721,53,033,027500,53033027500,4721
Census Tract 276; King County; Washington,4251,53,033,027600,53033027600,4251
Census Tract 277.01; King County; Washington,5737,53,033,027701,53033027701,5737
Census Tract 277.02; King County; Washington,5202,53,033,027702,53033027702,5202
Census Tract 278; King County; Washington,3526,53,033,027800,53033027800,3526
Census Tract 279.01; King County; Washington,4616,53,033,027901,53033027901,4616
Census Tract 279.02; King County; Washington,3695,53,033,027902,53033027902,3695
Census Tract 280; King County; Washington,4017,53,033,028000,53033028000,4017
Census Tract 281; King County; Washington,3111,53,033,028100,53033028100,3111
Census Tract 282; King County; Washington,5150,53,033,028200,53033028200,5150
Census Tract 283; King County; Washington,5466,53,033,028300,53033028300,5466
Census Tract 284.02; King County; Washington,6058,53,033,028402,53033028402,6058
Census Tract 284.03; King County; Washington,5594,53,033,028403,53033028403,5594
Census Tract 285; King County; Washington,4464,53,033,028500,53033028500,4464
Census Tract 286; King County; Washington,6642,53,033,028600,53033028600,6642
Census Tract 287; King County; Washington,5370,53,033,028700,53033028700,5370
Census Tract 288.01; King County; Washington,3384,53,033,028801,53033028801,3384
Census Tract 288.02; King County; Washington,7016,53,033,028802,53033028802,7016
Census Tract 289.01; King County; Washington,3897,53,033,028901,53033028901,3897
Census Tract 289.02; King County; Washington,6876,53,033,028902,53033028902,6876
Census Tract 290.01; King County; Washington,4218,53,033,029001,53033029001,4218
Census Tract 290.03; King County; Washington,5712,53,033,029003,53033029003,5712
Census Tract 290.04; King County; Washington,4726,53,033,029004,53033029004,4726
Census Tract 291.01; King County; Washington,4010,53,033,029101,53033029101,4010
Census Tract 291.02; King County; Washington,4800,53,033,029102,53033029102,4800
Census Tract 292.03; King County; Washington,4335,53,033,029203,53033029203,4335
Census Tract 292.05; King County; Washington,4871,53,033,029205,53033029205,4871
Census Tract 292.06; King County; Washington,4945,53,033,029206,53033029206,4945
Census Tract 292.07; King County; Washington,2569,53,033,029207,53033029207,2569
Census Tract 292.08; King County; Washington,4469,53,033,029208,53033029208,4469
Census Tract 293.04; King County; Washington,5184,53,033,029304,53033029304,5184
Census Tract 293.05; King County; Washington,4698,53,033,029305,53033029305,4698
Census Tract 293.06; King County; Washington,3782,53,033,029306,53033029306,3782
Census Tract 293.07; King County; Washington,3892,53,033,029307,53033029307,3892
Census Tract 293.08; King County; Washington,3420,53,033,029308,53033029308,3420
Census Tract 293.09; King County; Washington,5251,53,033,029309,53033029309,5251
Census Tract 294.03; King County; Washington,6497,53,033,029403,53033029403,6497
Census Tract 294.05; King County; Washington,5747,53,033,029405,53033029405,5747
Census Tract 294.06; King County; Washington,5008,53,033,029406,53033029406,5008
Census Tract 294.07; King County; Washington,5016,53,033,029407,53033029407,5016
Census Tract 294.08; King County; Washington,4551,53,033,029408,53033029408,4551
Census Tract 295.04; King County; Washington,6571,53,033,029504,53033029504,6571
Census Tract 295.05; King County; Washington,4213,53,033,029505,53033029505,4213
Census Tract 295.06; King County; Washington,4517,53,033,029506,53033029506,4517
Census Tract 295.07; King County; Washington,2969,53,033,029507,53033029507,2969
Census Tract 295.08; King County; Washington,4137,53,033,029508,53033029508,4137
Census Tract 296.02; King County; Washington,7132,53,033,029602,53033029602,7132
Census Tract 296.03; King County; Washington,4002,53,033,029603,53033029603,4002
Census Tract 296.04; King County; Washington,3548,53,033,029604,53033029604,3548
Census Tract 297.01; King County; Washington,4848,53,033,029701,53033029701,4848
Census Tract 297.02; King County; Washington,3566,53,033,029702,53033029702,3566
Census Tract 298.03; King County; Washington,4363,53,033,029803,53033029803,4363
Census Tract 298.04; King County; Washington,4511,53,033,029804,53033029804,4511
Census Tract 298.05; King County; Washington,4848,53,033,029805,53033029805,4848
Census Tract 298.06; King County; Washington,5576,53,033,029806,53033029806,5576
Census Tract 299.01; King County; Washington,4838,53,033,029901,53033029901,4838
Census Tract 299.02; King County; Washington,5694,53,033,029902,53033029902,5694
Census Tract 300.03; King County; Washington,7368,53,033,030003,53033030003,7368
Census Tract 300.05; King County; Washington,6218,53,033,030005,53033030005,6218
Census Tract 300.06; King County; Washington,4612,53,033,030006,53033030006,4612
Census Tract 300.07; King County; Washington,4106,53,033,030007,53033030007,4106
Census Tract 300.08; King County; Washington,4613,53,033,030008,53033030008,4613
Census Tract 301.01; King County; Washington,3824,53,033,030101,53033030101,3824
Census Tract 301.02; King County; Washington,3390,53,033,030102,53033030102,3390
Census Tract 302.01; King County; Washington,5972,53,033,030201,53033030201,5972
Census Tract 302.03; King County; Washington,3943,53,033,030203,53033030203,3943
Census Tract 302.04; King County; Washington,3911,53,033,030204,53033030204,3911
Census Tract 303.04; King County; Washington,4387,53,033,030304,53033030304,4387
Census Tract 303.05; King County; Washington,4748,53,033,030305,53033030305,4748
Census Tract 303.06; King County; Washington,5661,53,033,030306,53033030306,5661
Census Tract 303.08; King County; Washington,6313,53,033,030308,53033030308,6313
Census Tract 303.09; King County; Washington,5531,53,033,030309,53033030309,5531
Census Tract 303.10; King County; Washington,7077,53,033,030310,53033030310,7077
Census Tract 303.11; King County; Washington,4984,53,033,030311,53033030311,4984
Census Tract 303.12; King County; Washington,5527,53,033,030312,53033030312,5527
Census Tract 303.13; King County; Washington,5316,53,033,030313,53033030313,5316
Census Tract 303.14; King County; Washington,4812,53,033,030314,53033030314,4812
Census Tract 304.03; King County; Washington,5050,53,033,030403,53033030403,5050
Census Tract 304.04; King County; Washington,4839,53,033,030404,53033030404,4839
Census Tract 304.05; King County; Washington,3638,53,033,030405,53033030405,3638
Census Tract 304.06; King County; Washington,2821,53,033,030406,53033030406,2821
Census Tract 304.07; King County; Washington,2553,53,033,030407,53033030407,2553
Census Tract 305.01; King County; Washington,2699,53,033,030501,53033030501,2699
Census Tract 305.03; King County; Washington,5599,53,033,030503,53033030503,5599
Census Tract 305.04; King County; Washington,5251,53,033,030504,53033030504,5251
Census Tract 306; King County; Washington,5926,53,033,030600,53033030600,5926
Census Tract 307; King County; Washington,4499,53,033,030700,53033030700,4499
Census Tract 308.01; King County; Washington,7127,53,033,030801,53033030801,7127
Census Tract 308.02; King County; Washington,4059,53,033,030802,53033030802,4059
Census Tract 309.01; King County; Washington,4070,53,033,030901,53033030901,4070
Census Tract 309.02; King County; Washington,6148,53,033,030902,53033030902,6148
Census Tract 310; King County; Washington,4550,53,033,031000,53033031000,4550
Census Tract 311.01; King County; Washington,4677,53,033,031101,53033031101,4677
Census Tract 311.02; King County; Washington,3362,53,033,031102,53033031102,3362
Census Tract 312.02; King County; Washington,6046,53,033,031202,53033031202,6046
Census Tract 312.04; King County; Washington,6357,53,033,031204,53033031204,6357
Census Tract 312.06; King County; Washington,5591,53,033,031206,53033031206,5591
Census Tract 312.07; King County; Washington,4809,53,033,031207,53033031207,4809
Census Tract 312.08; King County; Washington,4463,53,033,031208,53033031208,4463
Census Tract 313.01; King County; Washington,2104,53,033,031301,53033031301,2104
Census Tract 313.02; King County; Washington,4822,53,033,031302,53033031302,4822
Census Tract 314; King County; Washington,6355,53,033,031400,53033031400,6355
Census Tract 315.01; King County; Washington,3987,53,033,031501,53033031501,3987
Census Tract 315.02; King County; Washington,4827,53,033,031502,53033031502,4827
Census Tract 316.01; King County; Washington,5809,53,033,031601,53033031601,5809
Census Tract 316.03; King County; Washington,7301,53,033,031603,53033031603,7301
Census Tract 316.04; King County; Washington,5950,53,033,031604,53033031604,5950
Census Tract 316.05; King County; Washington,4129,53,033,031605,53033031605,4129
Census Tract 317.04; King County; Washington,6515,53,033,031704,53033031704,6515
Census Tract 317.05; King County; Washington,4255,53,033,031705,53033031705,4255
Census Tract 317.07; King County; Washington,3032,53,033,031707,53033031707,3032
Census Tract 317.08; King County; Washington,3974,53,033,031708,53033031708,3974
Census Tract 317.09; King County; Washington,3751,53,033,031709,53033031709,3751
Census Tract 317.10; King County; Washington,4468,53,033,031710,53033031710,4468
Census Tract 318; King County; Washington,5069,53,033,031800,53033031800,5069
Census Tract 319.04; King County; Washington,3487,53,033,031904,53033031904,3487
Census Tract 319.06; King County; Washington,3630,53,033,031906,53033031906,3630
Census Tract 319.08; King County; Washington,4234,53,033,031908,53033031908,4234
Census Tract 319.09; King County; Washington,3195,53,033,031909,53033031909,3195
Census Tract 319.10; King County; Washington,4119,53,033,031910,53033031910,4119
Census Tract 319.11; King County; Washington,3649,53,033,031911,53033031911,3649
Census Tract 319.12; King County; Washington,3817,53,033,031912,53033031912,3817
Census Tract 319.13; King County; Washington,3961,53,033,031913,53033031913,3961
Census Tract 320.02; King County; Washington,2907,53,033,032002,53033032002,2907
Census Tract 320.03; King County; Washington,5661,53,033,032003,53033032003,5661
Census Tract 320.05; King County; Washington,7263,53,033,032005,53033032005,7263
Census Tract 320.06; King County; Washington,5407,53,033,032006,53033032006,5407
Census Tract 320.07; King County; Washington,3625,53,033,032007,53033032007,3625
Census Tract 320.08; King County; Washington,4645,53,033,032008,53033032008,4645
Census Tract 320.10; King County; Washington,6828,53,033,032010,53033032010,6828
Census Tract 320.11; King County; Washington,4694,53,033,032011,53033032011,4694
Census Tract 321.02; King County; Washington,5064,53,033,032102,53033032102,5064
Census Tract 321.03; King County; Washington,5319,53,033,032103,53033032103,5319
Census Tract 321.04; King County; Washington,6370,53,033,032104,53033032104,6370
Census Tract 322.07; King County; Washington,3660,53,033,032207,53033032207,3660
Census Tract 322.11; King County; Washington,4772,53,033,032211,53033032211,4772
Census Tract 322.13; King County; Washington,4784,53,033,032213,53033032213,4784
Census Tract 322.15; King County; Washington,5697,53,033,032215,53033032215,5697
Census Tract 322.16; King County; Washington,5266,53,033,032216,53033032216,5266
Census Tract 322.17; King County; Washington,4253,53,033,032217,53033032217,4253
Census Tract 322.18; King County; Washington,6092,53,033,032218,53033032218,6092
Census Tract 322.19; King County; Washington,4465,53,033,032219,53033032219,4465
Census Tract 322.20; King County; Washington,9165,53,033,032220,53033032220,9165
Census Tract 322.21; King County; Washington,6415,53,033,032221,53033032221,6415
Census Tract 322.22; King County; Washington,3929,53,033,032222,53033032222,3929
Census Tract 322.23; King County; Washington,4302,53,033,032223,53033032223,4302
Census Tract 322.24; King County; Washington,2942,53,033,032224,53033032224,2942
Census Tract 322.25; King County; Washington,3706,53,033,032225,53033032225,3706
Census Tract 323.07; King County; Washington,6612,53,033,032307,53033032307,6612
Census Tract 323.11; King County; Washington,6026,53,033,032311,53033032311,6026
Census Tract 323.13; King County; Washington,7481,53,033,032313,53033032313,7481
