station_id,station_name,lat,lon,population_within_radius,population_density_within_radius,city_average_population_density,residential_density_ratio
adarsh_nagar,Adarsh Nagar,28.7144008,77.1672884,88246.54409777792,28089.747407876555,7581.546434751025,3.70501554658077
aiims,AIIMS,28.5668602,77.2078058,18706.037356380864,5954.31662185933,7581.546434751025,0.7853696700407886
akshardham,Akshardham,28.61784195,77.27948814325397,69700.84576272035,22186.468281645462,7581.546434751025,2.9263776819925336
anand_vihar_isbt,Anand Vihar ISBT,28.6467533,77.3180037,22694.408058630128,7223.854446151058,7581.546434751025,0.9528207085878366
arjan_garh,Arjan Garh,28.4807352,77.1257622,0.0,0.0,7581.546434751025,0.0
arthala,Arthala,28.676999,77.3918919,0.0,0.0,7581.546434751025,0.0
ashok_park_main,Ashok Park Main,28.6716045,77.155291,101865.49669017729,32424.794657505638,7581.546434751025,4.276804862512256
ashram,Ashram,28.5724231,77.2585979,64742.04649662345,20608.033451645893,7581.546434751025,2.7181833718232253
azadpur,Azadpur,28.7076568,77.1755473,81583.2166013085,25968.744390870048,7581.546434751025,3.425256920123691
badarpur_border,Badarpur Border,28.4904999,77.3040379,16762.181952898976,5335.568229619264,7581.546434751025,0.7037572447176447
bahadurgarh_city,Bahadurgarh City,28.6907847,76.9354851,0.0,0.0,7581.546434751025,0.0
barakhambha_road,Barakhambha Road,28.6297676,77.2250046,34751.4521168895,11061.730768048548,7581.546434751025,1.4590335709540254
bata_chowk,Bata Chowk,28.3858361,77.313462,0.0,0.0,7581.546434751025,0.0
bhikaji_cama_place,Bhikaji Cama Place,28.56790025,77.18701648353385,40612.06238875675,12927.220956654168,7581.546434751025,1.7050902567054833
botanical_garden,Botanical Garden,28.5638964,77.334332,0.0,0.0,7581.546434751025,0.0
brigadier_hoshiyar_singh,Brigadier Hoshiyar Singh,28.6974603,76.9192027,0.0,0.0,7581.546434751025,0.0
central_secretariat,Central Secretariat,28.6158794,77.2122822,0.0,0.0,7581.546434751025,0.0
chandni_chowk,Chandni Chowk,28.6605039,77.2297797,59278.860316181315,18869.0472803485,7581.546434751025,2.4888124662614626
chawri_bazar,Chawri Bazar,28.6501605,77.2295008,221547.4952848066,70520.75800841069,7581.546434751025,9.30163240644012
chhatarpur,Chhatarpur,28.5067242,77.1750019,14469.689111204507,4605.845094102342,7581.546434751025,0.6075073382114814
chirag_delhi,Chirag Delhi,28.5381411,77.2280694,49992.771232714076,15913.193321097502,7581.546434751025,2.0989376584382926
civil_lines,Civil Lines,28.6768508,77.2250299,25899.58826242022,8244.094992018021,7581.546434751025,1.0873896325728636
dabri_mor_janakpuri_south,Dabri Mor-Janakpuri South,28.6157555,77.085178,111229.22703627759,35405.36259822853,7581.546434751025,4.66993942501537
dashrath_puri,Dashrath Puri,28.6018751,77.0823561,100481.0598587603,31984.11472726865,7581.546434751025,4.218679526997977
delhi_aerocity,Delhi Aerocity,28.5487982,77.1208089,5064.631177961771,1612.122173819889,7581.546434751025,0.2126376442714263
delhi_cantonment,Delhi Cantonment,28.5938331,77.13497891459929,487.7688713049084,155.26165390906144,7581.546434751025,0.020478889794488236
delhi_gate,Delhi Gate,28.6392036,77.2407823,84990.83647143518,27053.4234838877,7581.546434751025,3.568325237696196
dhaula_kuan,Dhaula Kuan,28.5918905,77.1617034,10380.019969518917,3304.062975083041,7581.546434751025,0.43580330260043376
dilshad_garden,Dilshad Garden,28.67588615,77.32143997586601,73651.95549613678,23444.145571188918,7581.546434751025,3.0922643253531445
durgabai_deshmukh_south_campus,Durgabai Deshmukh South Campus,28.5894384,77.1690817,21920.10932395525,6977.3875040444445,7581.546434751025,0.9203119131556937
dwarka,Dwarka,28.5771915,77.0442935,32091.646946281195,10215.08848692116,7581.546434751025,1.347362121281609
dwarka_mor,Dwarka Mor,28.61931,77.0332792,121000.0797975576,38515.52162859015,7581.546434751025,5.080166950115762
dwarka_sector_8,Dwarka Sector 8,28.5656109,77.0670366,9293.655678177627,2958.2624811520604,7581.546434751025,0.3901924899638511
dwarka_sector_9,Dwarka Sector 9,28.574272,77.0653316,16178.27859979756,5149.706019751218,7581.546434751025,0.6792421657073624
dwarka_sector_10,Dwarka Sector 10,28.5810577,77.0574996,30686.162621790176,9767.708931559322,7581.546434751025,1.2883531104930956
dwarka_sector_11,Dwarka Sector 11,28.5864469,77.0494375,36583.55619503781,11644.907608640797,7581.546434751025,1.5359541366474807
dwarka_sector_12,Dwarka Sector 12,28.5922362,77.0407315,35378.56536578713,11261.3471149295,7581.546434751025,1.48536280979717
dwarka_sector_13,Dwarka Sector 13,28.597009,77.0335407,34577.314997547976,11006.301201410575,7581.546434751025,1.4517224547965217
dwarka_sector_14,Dwarka Sector 14,28.60225285,77.02595656497819,34362.26074734228,10937.84730750426,7581.546434751025,1.442693440136327
dwarka_sector_21,Dwarka Sector 21,28.5518376,77.0586489,7337.870735142403,2335.716798534547,7581.546434751025,0.30807920503242964
east_azad_nagar,East Azad Nagar,28.6646964,77.284881,158926.97645967873,50588.027788414314,7581.546434751025,6.672520998689314
east_vinod_nagar_mayur_vihar_ii,East Vinod Nagar – Mayur Vihar-II,28.6200437,77.3054069,111024.31834961486,35340.13813749885,7581.546434751025,4.661336370046173
escorts_mujesar,Escorts Mujesar,28.3702344,77.3149203,0.0,0.0,7581.546434751025,0.0
esi_hospital,ESI Hospital,28.6580737,77.1272678,73404.00454824216,23365.220333185414,7581.546434751025,3.08185414865862
