station_id,station_name,lat,lon,activity_score,connectivity_score,activity_rank_pct,is_transfer_proxy,connectivity,population_within_radius,population_density_within_radius,city_average_population_density,residential_density_ratio
10th_ave_e_e_galer_st,10th Ave E & E Galer St,47.63217,-122.320202,0.27987282542420816,0.03657966133408177,0.6293103448275862,0,392.0,11405.53269399692,3630.493813691663,2841.0060694208155,1.2778901998022825
10th_ave_e_e_howe_st,10th Ave E & E Howe St,47.636231,-122.319992,0.19856146646403972,0.018243053606511368,0.4133141762452107,0,196.0,8928.723204980977,2842.1008671440654,2841.0060694208155,1.0003853556439157
10th_ave_e_e_mercer_st,10th Ave E & E Mercer St,47.623951,-122.319992,0.6309722952713992,0.019459257180278793,0.9118773946360154,0,209.0,28362.954441660357,9028.208800160948,2841.0060694208155,3.177821018172444
10th_ave_e_e_miller_st,10th Ave E & E Miller St,47.641115,-122.3200645,0.22418404745833315,0.03657966133408177,0.48323754789272033,0,392.0,8884.258889237095,2827.94743586039,2841.0060694208155,0.9954035178942481
10th_ave_e_e_newton_st,10th Ave E & E Newton St,47.637028,-122.320183,0.19731823140875857,0.018243053606511368,0.4099616858237548,0,196.0,8872.436533006232,2824.18426299412,2841.0060694208155,0.9940789262621588
10th_ave_e_e_prospect_st,10th Ave E & E Prospect St,47.6288415,-122.320217,0.44502273301442985,0.03657966133408177,0.8304597701149425,0,392.0,18882.589132924106,6010.514797756355,2841.0060694208155,2.115628988776393
10th_ave_e_e_roanoke_st,10th Ave E & E Roanoke St,47.642799,-122.32016,0.1954266407831367,0.018243053606511368,0.4046934865900383,0,196.0,8786.79597726209,2796.924027442486,2841.0060694208155,0.9844836508964881
10th_ave_w_w_armour_st,10th Ave W & W Armour St,47.645111,-122.370277,0.2549872697860193,0.026569370380765272,0.5689655172413793,0,285.0,10663.56558734804,3394.3183484221413,2841.0060694208155,1.1947592738209558
10th_ave_w_w_blaine_st,10th Ave W & W Blaine St,47.6347595,-122.3703725,0.2520154219085755,0.026662924501824305,0.5622605363984674,0,286.0,10519.857301431613,3348.574580288416,2841.0060694208155,1.1786580170774068
10th_ave_w_w_bothwell_st,10th Ave W & W Bothwell St,47.643486,-122.370308,0.22534227250261188,0.013284685190382636,0.4875478927203065,0,143.0,10502.102165845865,3342.9229451009387,2841.0060694208155,1.1766687093992894
10th_ave_w_w_crockett_st,10th Ave W & W Crockett St,47.6377795,-122.370331,0.24456974205428633,0.026662924501824305,0.5407088122605364,0,286.0,10182.758908165546,3241.2728290951554,2841.0060694208155,1.1408890899539474
10th_ave_w_w_galer_st,10th Ave W & W Galer St,47.6324345,-122.370407,0.258717252426055,0.026662924501824305,0.5790229885057471,0,286.0,10823.27839172767,3445.156513006316,2841.0060694208155,1.2126536969027546
10th_ave_w_w_halladay_st,10th Ave W & W Halladay St,47.6419925,-122.370068,0.25062665113508886,0.026662924501824305,0.5560344827586207,0,286.0,10456.981592897415,3328.5606206611706,2841.0060694208155,1.171613343768657
10th_ave_w_w_howe_st,10th Ave W & W Howe St,47.6359635,-122.37035750000001,0.24867233967251695,0.026662924501824305,0.5498084291187739,0,286.0,10368.501391375597,3300.396497785242,2841.0060694208155,1.161699910925597
