route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,drt_advance_book_min,bikes_allowed,fare_id,peak_offpeak,boarding_type
102548,347619640,21620,,Bellevue Transit Center Crossroads,1,8049813,30672005,1,0.0,1,101,0,0
102548,347619650,21620,,Bellevue Transit Center Crossroads,1,8049811,30672005,1,0.0,1,101,0,0
102548,347619670,21620,,Bellevue Transit Center Crossroads,1,8049813,30672005,1,0.0,1,101,0,0
102548,347619690,21620,,Bellevue Transit Center Crossroads,1,8049811,30672005,1,0.0,1,101,0,0
102548,347619710,21620,,Bellevue Transit Center Crossroads,1,8049811,30672005,1,0.0,1,101,0,0
102548,347619750,21620,,Bellevue Transit Center Crossroads,1,8049804,30672005,1,0.0,1,101,0,0
102548,347619770,21620,,Bellevue Transit Center Crossroads,1,8049804,30672005,1,0.0,1,101,0,0
102548,347619780,21620,,Bellevue Transit Center Crossroads,1,8049807,30672005,1,0.0,1,101,0,0
102548,347619790,21620,,Bellevue Transit Center Crossroads,1,8049804,30672005,1,0.0,1,101,0,0
102548,347619800,21620,,Bellevue Transit Center Crossroads,1,8049813,30672005,1,0.0,1,101,0,0
102548,347619810,21620,,Bellevue Transit Center Crossroads,1,8049807,30672005,1,0.0,1,101,0,0
102548,347619860,21620,,Bellevue Transit Center Crossroads,1,8049805,30672005,1,0.0,1,101,0,0
102548,347619880,21620,,Bellevue Transit Center Crossroads,1,8049805,30672005,1,0.0,1,101,0,0
102548,347619910,21620,,Bellevue Transit Center Crossroads,1,8049812,30672005,1,0.0,1,101,0,0
102548,347619920,21620,,Bellevue Transit Center Crossroads,1,8049807,30672005,1,0.0,1,101,0,0
102548,347619960,21620,,Bellevue Transit Center Crossroads,1,8049811,30672005,1,0.0,1,101,0,0
102548,347619980,21620,,Bellevue Transit Center Crossroads,1,8049814,30672005,1,0.0,1,101,0,0
102548,347619990,21620,,Bellevue Transit Center Crossroads,1,8049812,30672005,1,0.0,1,101,0,0
102548,347620000,21620,,Bellevue Transit Center Crossroads,1,8049814,30672005,1,0.0,1,101,0,0
102548,347620010,21620,,Bellevue Transit Center Crossroads,1,8049811,30672005,1,0.0,1,101,0,0
102548,347620050,21620,,Bellevue Transit Center Crossroads,1,8049814,30672005,1,0.0,1,101,0,0
102548,347620110,21620,,Bellevue Transit Center Crossroads,1,8049804,30672005,1,0.0,1,101,0,0
102548,347620120,21620,,Bellevue Transit Center Crossroads,1,8049807,30672005,1,0.0,1,101,0,0
102548,347620150,21620,,Bellevue Transit Center Crossroads,1,8049804,30672005,1,0.0,1,101,0,0
102548,347620180,21620,,Bellevue Transit Center Crossroads,1,8049805,30672005,1,0.0,1,101,0,0
102548,347620200,21620,,Bellevue Transit Center Crossroads,1,8049805,30672005,1,0.0,1,101,0,0
102548,347620210,21620,,Bellevue Transit Center Crossroads,1,8049814,30672005,1,0.0,1,101,0,0
102548,347620230,21620,,Bellevue Transit Center Crossroads,1,8049812,30672005,1,0.0,1,101,0,0
102548,347620270,21620,,Bellevue Transit Center Crossroads,1,8049811,30672005,1,0.0,1,101,0,0
102548,347620280,21620,,Bellevue Transit Center Crossroads,1,8049813,30672005,1,0.0,1,101,0,0
102548,347620300,21620,,Bellevue Transit Center Crossroads,1,8049813,30672005,1,0.0,1,101,0,0
102548,347620320,21620,,Bellevue Transit Center Crossroads,1,8049806,30672005,1,0.0,1,101,0,0
102548,347620340,21620,,Bellevue Transit Center Crossroads,1,8049805,30672005,1,0.0,1,101,0,0
102548,347620370,21620,,Bellevue Transit Center Crossroads,1,8049814,30672005,1,0.0,1,101,0,0
102548,347620380,21620,,Bellevue Transit Center Crossroads,1,8049814,30672005,1,0.0,1,101,0,0
102548,347620390,21620,,Bellevue Transit Center Crossroads,1,8049805,30672005,1,0.0,1,101,0,0
102548,347620400,21620,,Bellevue Transit Center Crossroads,1,8049813,30672005,1,0.0,1,101,0,0
102548,347620410,21620,,Bellevue Transit Center Crossroads,1,8049814,30672005,1,0.0,1,101,0,0
102548,347620440,21620,,Bellevue Transit Center Crossroads,1,8049811,30672005,1,0.0,1,101,0,0
102548,347620450,21620,,Bellevue Transit Center Crossroads,1,8049812,30672005,1,0.0,1,101,0,0
102548,347620490,21620,,Bellevue Transit Center Crossroads,1,8049806,30672005,1,0.0,1,101,0,0
102548,347620510,21620,,Bellevue Transit Center Crossroads,1,8049811,30672005,1,0.0,1,101,0,0
102548,347620520,21620,,Bellevue Transit Center Crossroads,1,8049813,30672005,1,0.0,1,101,0,0
102548,347620550,21620,,Bellevue Transit Center Crossroads,1,8049804,30672005,1,0.0,1,101,0,0
102548,347620560,21620,,Bellevue Transit Center Crossroads,1,8049807,30672005,1,0.0,1,101,0,0
102548,347620570,21620,,Bellevue Transit Center Crossroads,1,8049806,30672005,1,0.0,1,101,0,0
102548,347620590,21620,,Bellevue Transit Center Crossroads,1,8049812,30672005,1,0.0,1,101,0,0
102548,347620610,21620,,Bellevue Transit Center Crossroads,1,8049804,30672005,1,0.0,1,101,0,0
102548,347620620,21620,,Bellevue Transit Center Crossroads,1,8049805,30672005,1,0.0,1,101,0,0
102548,347620680,21620,,Bellevue Transit Center Crossroads,1,8049804,30672005,1,0.0,1,101,0,0
102548,347620700,21620,,Bellevue Transit Center Crossroads,1,8049804,30672005,1,0.0,1,101,0,0
102548,347620710,21620,,Bellevue Transit Center Crossroads,1,8049812,30672005,1,0.0,1,101,0,0
102548,347620730,21620,,Bellevue Transit Center Crossroads,1,8049812,30672005,1,0.0,1,101,0,0
102548,347620740,21620,,Bellevue Transit Center Crossroads,1,8049812,30672005,1,0.0,1,101,0,0
102548,347620800,21620,,Bellevue Transit Center Crossroads,1,8049814,30672005,1,0.0,1,101,0,0
102548,347620820,21620,,Bellevue Transit Center Crossroads,1,8049812,30672005,1,0.0,1,101,0,0
102548,347620830,21620,,Bellevue Transit Center Crossroads,1,8049811,30672005,1,0.0,1,101,0,0
102548,347620860,21620,,Bellevue Transit Center Crossroads,1,8049814,30672005,1,0.0,1,101,0,0
102548,347620870,21620,,Bellevue Transit Center Crossroads,1,8049813,30672005,1,0.0,1,101,0,0
102548,347620910,21620,,Bellevue Transit Center Crossroads,1,8049811,30672005,1,0.0,1,101,0,0
102548,347620920,21620,,Bellevue Transit Center Crossroads,1,8049806,30672005,1,0.0,1,101,0,0
102548,347620930,21620,,Bellevue Transit Center Crossroads,1,8049807,30672005,1,0.0,1,101,0,0
102548,347620960,21620,,Bellevue Transit Center Crossroads,1,8049804,30672005,1,0.0,1,101,0,0
102548,347620980,21620,,Bellevue Transit Center Crossroads,1,8049813,30672005,1,0.0,1,101,0,0
102548,347620990,21620,,Bellevue Transit Center Crossroads,1,8049805,30672005,1,0.0,1,101,0,0
102548,347621000,21620,,Bellevue Transit Center Crossroads,1,8049806,30672005,1,0.0,1,101,0,0
102548,347621030,21620,,Bellevue Transit Center Crossroads,1,8049806,30672005,1,0.0,1,101,0,0
